Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-526,2000,101956895.976899,50978.4,509.784
iot-0-527,2000,101954241.936898,50977.1,509.771
iot-0-528,2000,101955803.136898,50977.9,509.779
iot-0-529,2000,101955126.616899,50977.6,509.776
iot-0-530,2000,101955074.576898,50977.5,509.775
iot-0-531,2000,101955438.856899,50977.7,509.777
iot-0-532,2000,101955594.976898,50977.8,509.778
iot-0-533,2000,101955334.776899,50977.7,509.777
iot-0-534,2000,101957208.216899,50978.6,509.786
iot-0-535,2000,101955386.816899,50977.7,509.777
iot-0-536,2000,101954346.016898,50977.2,509.772
iot-0-537,2000,101957260.256899,50978.6,509.786
iot-0-538,2000,101956583.736899,50978.3,509.783
iot-0-539,2000,101955178.656898,50977.6,509.776
iot-0-540,2000,101955751.096899,50977.9,509.779
iot-0-541,2000,101955959.256899,50978,509.78
iot-0-542,2000,101956063.336899,50978,509.78
iot-0-543,2000,101955855.176899,50977.9,509.779
iot-0-544,2000,101956011.296898,50978,509.78
iot-0-545,2000,101956791.896899,50978.4,509.784
iot-0-546,2000,101957000.056899,50978.5,509.785
iot-0-547,2000,101956115.376898,50978.1,509.78
iot-0-548,2000,101956948.016898,50978.5,509.785
iot-0-549,2000,101958092.896899,50979,509.79
iot-0-550,2000,101956531.696898,50978.3,509.783
iot-0-551,2000,101956687.816899,50978.3,509.783
iot-0-552,2000,101957676.576899,50978.8,509.788
iot-0-553,2000,101957468.416899,50978.7,509.787
iot-0-554,2000,101957104.136899,50978.6,509.785
iot-0-555,2000,101956323.536898,50978.2,509.781
iot-0-556,2000,101956427.616898,50978.2,509.782
iot-0-557,2000,101957936.776899,50979,509.79
iot-0-558,2000,101956167.416899,50978.1,509.781
iot-0-559,2000,101955490.896899,50977.7,509.777
iot-0-560,2000,101956635.776898,50978.3,509.783
iot-0-561,2000,101958196.976899,50979.1,509.791
iot-0-562,2000,101957312.296899,50978.7,509.786
iot-0-563,2000,101956271.496899,50978.1,509.781
iot-0-564,2000,101957052.096898,50978.5,509.785
iot-0-565,2000,101957520.456899,50978.8,509.787
iot-0-566,2000,101956219.456898,50978.1,509.781
iot-0-567,2000,101957884.736899,50978.9,509.789
iot-0-568,2000,101956739.856898,50978.4,509.784
iot-0-569,2000,101957832.696899,50978.9,509.789
iot-0-570,2000,101957156.278075,50978.6,509.786
iot-0-571,2000,101957572.496899,50978.8,509.788
iot-0-572,2000,101956375.576899,50978.2,509.782
iot-0-573,2000,101958353.096899,50979.2,509.792
iot-0-574,2000,101957416.376899,50978.7,509.787
iot-0-575,2000,101957988.816899,50979,509.79
iot-0-576,2000,101957728.616899,50978.9,509.789
iot-0-577,2000,101957780.656899,50978.9,509.789
iot-0-578,2000,101959081.758075,50979.5,509.795
iot-0-579,2000,101958405.136899,50979.2,509.792
iot-0-580,2000,101959966.336899,50980,509.8
iot-0-581,2000,101957624.536899,50978.8,509.788
iot-0-582,2000,101956843.936898,50978.4,509.784
iot-0-583,2000,101958040.856899,50979,509.79
iot-0-584,2000,101958769.416899,50979.4,509.794
iot-0-585,2000,101958509.216899,50979.3,509.792
iot-0-586,2000,101959133.696899,50979.6,509.796
iot-0-587,2000,101958301.056899,50979.2,509.791
iot-0-588,2000,101958665.336899,50979.3,509.793
iot-0-589,2000,101959445.936899,50979.7,509.797
iot-0-590,2000,101958249.016899,50979.1,509.791
iot-0-591,2000,101958613.296899,50979.3,509.793
iot-0-592,2000,101959393.896899,50979.7,509.797
iot-0-593,2000,101958925.536899,50979.5,509.794
iot-0-594,2000,101958561.256899,50979.3,509.793
iot-0-595,2000,101957364.336899,50978.7,509.787
iot-0-596,2000,101958977.576899,50979.5,509.795
iot-0-597,2000,101959810.216899,50979.9,509.799
iot-0-598,2000,101959758.176899,50979.9,509.799
iot-0-599,2000,101958873.496899,50979.4,509.794
iot-0-600,2000,101958821.456899,50979.4,509.794
iot-0-601,2000,101960070.416899,50980,509.8
iot-0-602,2000,101959237.776899,50979.6,509.796
iot-0-603,2000,101958144.936899,50979.1,509.791
iot-0-604,2000,101959914.296900,50980,509.799
iot-0-605,2000,101959289.816899,50979.6,509.796
iot-0-606,2000,101958457.176899,50979.2,509.792
iot-0-607,2000,101959862.256899,50979.9,509.799
iot-0-608,2000,101959550.016899,50979.8,509.798
iot-0-609,2000,101960903.056899,50980.5,509.804
iot-0-610,2000,101959341.856899,50979.7,509.797
iot-0-611,2000,101960694.896899,50980.3,509.803
iot-0-612,2000,101959706.136900,50979.9,509.798
iot-0-613,2000,101961215.296900,50980.6,509.806
iot-0-614,2000,101961631.616900,50980.8,509.808
iot-0-615,2000,101960226.536899,50980.1,509.801
iot-0-616,2000,101958717.376899,50979.4,509.793
iot-0-617,2000,101960278.576899,50980.1,509.801
iot-0-618,2000,101959341.958076,50979.7,509.797
iot-0-619,2000,101959497.976900,50979.7,509.797
iot-0-620,2000,101959029.616899,50979.5,509.795
iot-0-621,2000,101960174.496899,50980.1,509.801
iot-0-622,2000,101960798.976899,50980.4,509.804
iot-0-623,2000,101959602.056899,50979.8,509.798
iot-0-624,2000,101960538.776900,50980.3,509.803
iot-0-625,2000,101960018.376899,50980,509.8
iot-0-626,2000,101960122.456900,50980.1,509.8
iot-0-627,2000,101959654.096899,50979.8,509.798
