Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time Execution, Waiting Time
s-0-893,14,369634.24,26402.45,310.45,3474.04
s-0-894,8,369969.76,46246.22,345.05,2870.31
s-0-895,8,369990.28,46248.78,328.35,3475.68
s-0-896,10,369905.79,36990.58,337.60,3367.56
s-0-897,12,369821.31,30818.44,341.76,3385.20
s-0-898,6,370156.83,61692.80,345.06,3222.07
s-0-899,11,369914.84,33628.62,334.24,3204.21
s-0-900,13,369830.36,28448.49,349.46,3473.22
s-0-901,10,370008.38,37000.84,349.67,3287.35
s-0-902,9,370081.39,41120.15,329.13,3221.03
s-0-903,13,369891.91,28453.22,372.17,3403.67
s-0-904,12,369964.93,30830.41,346.69,3480.81
s-0-905,9,370142.94,41126.99,360.44,3355.86
s-0-906,11,370058.46,33641.68,321.26,3447.16
s-0-907,4,370446.48,92611.62,280.35,3493.12
s-0-908,7,370309.49,52901.36,318.57,3489.63
s-0-909,12,370067.51,30838.96,364.45,3002.31
s-0-910,5,370455.53,74091.11,336.06,3370.43
s-0-911,6,370423.55,61737.26,309.90,3406.13
s-0-912,13,370076.56,28467.43,341.91,3374.33
s-0-913,10,370254.58,37025.46,342.36,3391.15
s-0-914,12,370170.10,30847.51,336.49,3445.32
s-0-915,10,370295.61,37029.56,373.65,3241.68
s-0-916,10,370316.13,37031.61,353.31,2923.62
s-0-917,10,370336.65,37033.66,345.24,3291.22
s-0-918,10,370357.16,37035.72,351.49,3487.99
s-0-919,9,370430.18,41158.91,344.05,3481.83
s-0-920,3,370765.70,123588.57,343.25,2738.70
s-0-921,7,370576.21,52939.46,349.07,3480.81
s-0-922,11,370386.73,33671.52,316.53,3473.63
s-0-923,12,370354.75,30862.90,343.23,3383.36
s-0-924,12,370375.26,30864.61,350.63,3399.97
s-0-925,8,370605.78,46325.72,368.00,3056.19
s-0-926,7,370678.80,52954.11,334.17,3303.79
s-0-927,20,370016.81,18500.84,348.07,3039.89
s-0-928,15,370299.83,24686.66,358.90,2888.74
s-0-929,7,370740.35,52962.91,329.85,3428.49
s-0-930,5,370865.86,74173.17,342.23,3303.18
s-0-931,11,370571.38,33688.31,355.00,3262.76
s-0-932,8,370749.40,46343.67,329.87,3474.04
s-0-933,5,370927.41,74185.48,316.78,3205.17
s-0-934,6,370895.43,61815.91,304.92,3452.29
s-0-935,12,370600.95,30883.41,324.98,3387.87
s-0-936,8,370831.46,46353.93,343.01,3383.35
s-0-937,9,370799.48,41199.94,359.11,3429.31
s-0-938,5,371030.00,74206.00,395.23,2804.68
s-0-939,8,370893.01,46361.63,359.70,3358.73
s-0-940,13,370651.03,28511.62,365.20,3197.76
s-0-941,5,371091.55,74218.31,343.36,3382.94
s-0-942,12,370744.56,30895.38,351.07,3462.76
s-0-943,9,370922.58,41213.62,348.73,3264.89
s-0-944,15,370628.10,24708.54,352.26,3430.75
s-0-945,5,371173.62,74234.72,332.81,3483.06
s-0-946,4,371246.63,92811.66,345.04,3071.32
s-0-947,14,370742.15,26481.58,359.22,3366.94
s-0-948,13,370815.17,28524.24,345.87,3468.09
s-0-949,8,371098.18,46387.27,345.03,3297.37
s-0-950,11,370961.20,33723.75,350.56,2996.24
s-0-951,7,371191.72,53027.39,344.85,3455.98
s-0-952,7,371212.23,53030.32,353.32,3369.81
s-0-953,11,371022.75,33729.34,329.19,3447.78
s-0-954,4,371410.77,92852.69,360.25,2549.04
s-0-955,8,371221.28,46402.66,345.05,2313.22
s-0-956,8,371241.80,46405.22,325.40,3388.28
s-0-957,12,371052.32,30921.03,318.14,3326.93
s-0-958,11,371125.33,33738.67,290.51,3486.76
s-0-959,14,370988.35,26499.17,340.43,3395.67
s-0-960,10,371218.87,37121.89,332.63,3300.53
s-0-961,9,371291.88,41254.65,342.10,3355.04
s-0-962,12,371154.90,30929.58,338.41,3309.52
s-0-963,5,371542.92,74308.58,308.98,2347.77
s-0-964,6,371510.93,61918.49,370.84,3168.68
s-0-965,11,371268.95,33751.72,324.04,3265.83
s-0-966,14,371131.97,26509.43,344.79,3336.99
s-0-967,5,371624.98,74325.00,345.03,3123.95
s-0-968,8,371488.00,46436.00,326.96,3323.43
s-0-969,16,371088.52,23193.03,340.17,3444.11
s-0-970,15,371161.53,24744.10,332.95,3045.76
s-0-971,10,371444.55,37144.46,318.45,3457.42
s-0-972,7,371622.57,53088.94,340.91,2890.09
s-0-973,4,371800.58,92950.15,313.21,3426.03
s-0-974,13,371348.60,28565.28,306.52,3326.52
s-0-975,8,371631.62,46453.95,345.08,3001.62
s-0-976,6,371757.14,61959.52,368.83,2986.61
s-0-977,7,371725.15,53103.59,330.97,2997.15
s-0-978,9,371640.67,41293.41,309.74,3458.86
s-0-979,12,371503.69,30958.64,372.05,3435.06
s-0-980,12,371524.20,30960.35,361.24,3458.04
s-0-981,11,371597.22,33781.57,339.82,3447.57
s-0-982,8,371775.24,46471.90,359.97,3394.23
s-0-983,8,371795.75,46474.47,315.93,3467.68
s-0-984,10,371711.27,37171.13,356.56,3470.55
s-0-985,8,371836.79,46479.60,368.86,3314.07
s-0-986,7,371909.80,53129.97,331.33,2551.80
s-0-987,16,371457.82,23216.11,341.95,3349.71
s-0-988,18,371373.34,20631.85,345.40,3382.54
s-0-989,10,371813.85,37181.39,320.45,2227.12
s-0-990,10,371834.37,37183.44,357.00,3245.22
s-0-991,12,371749.89,30979.16,372.70,3164.32
s-0-992,8,371980.40,46497.55,358.74,2483.23
s-0-993,10,371895.92,37189.59,315.06,3463.99
s-0-994,13,371758.94,28596.84,349.16,3139.58
s-0-995,3,372304.45,124101.48,345.04,2531.53
s-0-996,13,371799.97,28600.00,320.52,3375.15
s-0-997,12,371872.99,30989.42,356.29,3380.48
s-0-998,7,372156.00,53165.14,333.70,3428.08
s-0-999,7,372176.52,53168.07,343.93,3354.83

DATACENTER,TamañoMediocola,TareasMediasEnElSistema,tareas
0,0,1000,10000





IoT Device,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-0,10,2331.68,233.17,333.02
iot-0-1,10,2374.34,237.43,339.11
iot-0-2,10,2443.42,244.34,348.98
iot-0-3,10,2338.88,233.89,334.05
iot-0-4,10,2344.69,234.47,334.88
iot-0-5,10,2415.70,241.57,345.02
iot-0-6,10,2430.21,243.02,347.09
iot-0-7,10,2388.70,238.87,341.17
iot-0-8,10,2451.46,245.15,350.13
iot-0-9,10,2417.42,241.74,345.27
iot-0-10,10,2399.62,239.96,342.72
iot-0-11,10,2318.36,231.84,331.12
iot-0-12,10,2402.06,240.21,343.07
iot-0-13,10,2435.95,243.60,347.92
iot-0-14,10,2428.05,242.81,346.79
iot-0-15,10,2315.31,231.53,330.68
iot-0-16,10,2406.65,240.67,343.73
iot-0-17,10,2372.90,237.29,338.91
iot-0-18,10,2428.34,242.83,346.83
iot-0-19,10,2414.84,241.48,344.90
iot-0-20,10,2360.69,236.07,337.16
iot-0-21,10,2423.89,242.39,346.19
iot-0-22,10,2325.95,232.60,332.20
iot-0-23,10,2416.42,241.64,345.13
iot-0-24,10,2441.55,244.16,348.72
iot-0-25,10,2393.30,239.33,341.82
iot-0-26,10,2410.39,241.04,344.26
iot-0-27,10,2352.51,235.25,335.99
iot-0-28,10,2379.08,237.91,339.79
iot-0-29,10,2441.69,244.17,348.74
iot-0-30,10,2338.16,233.82,333.95
iot-0-31,10,2337.60,233.76,333.87
iot-0-32,10,2320.74,232.07,331.46
iot-0-33,10,2322.68,232.27,331.73
iot-0-34,10,2411.97,241.20,344.49
iot-0-35,10,2380.37,238.04,339.98
iot-0-36,10,2384.25,238.42,340.53
iot-0-37,10,2447.44,244.74,349.56
iot-0-38,10,2383.53,238.35,340.43
iot-0-39,10,2355.25,235.53,336.39
iot-0-40,10,2448.59,244.86,349.72
iot-0-41,10,2329.72,232.97,332.74
iot-0-42,10,2373.05,237.30,338.93
iot-0-43,10,2446.15,244.61,349.37
iot-0-44,10,2397.75,239.77,342.46
iot-0-45,10,2421.73,242.17,345.88
iot-0-46,10,2343.09,234.31,334.65
iot-0-47,10,2351.50,235.15,335.85
iot-0-48,10,2333.74,233.37,333.31
iot-0-49,10,2350.07,235.01,335.65
iot-0-50,10,2354.38,235.44,336.26
iot-0-51,10,2337.76,233.78,333.89
iot-0-52,10,2373.76,237.38,339.03
iot-0-53,10,2412.68,241.27,344.59
iot-0-54,10,2368.88,236.89,338.33
iot-0-55,10,2460.80,246.08,351.46
iot-0-56,10,2420.30,242.03,345.68
iot-0-57,10,2372.76,237.28,338.89
iot-0-58,10,2369.89,236.99,338.48
iot-0-59,10,2368.59,236.86,338.29
iot-0-60,10,2389.13,238.91,341.23
iot-0-61,10,2329.43,232.94,332.70
iot-0-62,10,2379.22,237.92,339.81
