Server,Tasks Executed,Energy Consumed,Average Energy Consumed,Average Time
iot-0-338,2000,93659898.161838,46829.9,468.298
iot-0-339,2000,93640539.281837,46820.3,468.202
iot-0-340,2000,93622325.484188,46811.2,468.111
iot-0-341,2000,93617537.601836,46808.8,468.087
iot-0-342,2000,93642829.143014,46821.4,468.213
iot-0-343,2000,93644494.321838,46822.2,468.221
iot-0-344,2000,93616600.881836,46808.3,468.082
iot-0-345,2000,93656619.641839,46828.3,468.282
iot-0-346,2000,93626956.841836,46813.5,468.134
iot-0-347,2000,93658805.321839,46829.4,468.293
iot-0-348,2000,93637781.161837,46818.9,468.188
iot-0-349,2000,93637989.321837,46819,468.189
iot-0-350,2000,93651103.401838,46825.6,468.254
iot-0-351,2000,93643557.601837,46821.8,468.217
iot-0-352,2000,93653809.481838,46826.9,468.268
iot-0-353,2000,93649386.081838,46824.7,468.246
iot-0-354,2000,93640955.601837,46820.5,468.204
iot-0-355,2000,93641684.161837,46820.8,468.207
iot-0-356,2000,93652820.721838,46826.4,468.263
iot-0-357,2000,93641423.961837,46820.7,468.206
iot-0-358,2000,93630131.281836,46815.1,468.15
iot-0-359,2000,93650739.121838,46825.4,468.253
iot-0-360,2000,93643141.281838,46821.6,468.215
iot-0-361,2000,93653913.561838,46827,468.268
iot-0-362,2000,93619671.241836,46809.8,468.097
iot-0-363,2000,93630911.881837,46815.5,468.153
iot-0-364,2000,93640643.361837,46820.3,468.202
iot-0-365,2000,93650583.103014,46825.3,468.252
iot-0-366,2000,93648501.401838,46824.3,468.241
iot-0-367,2000,93657244.121839,46828.6,468.285
iot-0-368,2000,93633565.921837,46816.8,468.167
iot-0-369,2000,93661303.343015,46830.7,468.305
iot-0-370,2000,93622793.641836,46811.4,468.113
iot-0-371,2000,93637833.201837,46818.9,468.188
iot-0-372,2000,93637885.241837,46818.9,468.188
iot-0-373,2000,93634450.601837,46817.2,468.171
iot-0-374,2000,93627060.921836,46813.5,468.134
iot-0-375,2000,93636219.961837,46818.1,468.18
iot-0-376,2000,93638926.041837,46819.5,468.194
iot-0-377,2000,93615768.343011,46807.9,468.078
iot-0-378,2000,93642725.063014,46821.4,468.213
iot-0-379,2000,93657296.161838,46828.6,468.285
iot-0-380,2000,93628257.841836,46814.1,468.14
iot-0-381,2000,93650687.284190,46825.3,468.252
iot-0-382,2000,93615716.303012,46807.9,468.077
iot-0-383,2000,93623262.103013,46811.6,468.115
iot-0-384,2000,93638041.463013,46819,468.189
iot-0-385,2000,93656099.241839,46828,468.279
iot-0-386,2000,93661251.201839,46830.6,468.305
iot-0-387,2000,93657400.241838,46828.7,468.286
iot-0-388,2000,93637208.721837,46818.6,468.185
iot-0-389,2000,93639498.583013,46819.7,468.196
iot-0-390,2000,93622845.681836,46811.4,468.113
iot-0-391,2000,93649958.521838,46825,468.249
iot-0-392,2000,93651780.124191,46825.9,468.258
iot-0-393,2000,93632212.881837,46816.1,468.16
iot-0-394,2000,93646680.001838,46823.3,468.232
iot-0-395,2000,93641267.841837,46820.6,468.205
iot-0-396,2000,93629558.841837,46814.8,468.147
iot-0-397,2000,93638249.521837,46819.1,468.19
iot-0-398,2000,93644650.441838,46822.3,468.222
iot-0-399,2000,93619306.961836,46809.7,468.095
iot-0-400,2000,93660522.641839,46830.3,468.301
iot-0-401,2000,93648241.201838,46824.1,468.24
iot-0-402,2000,93658649.201838,46829.3,468.292
